StockCode,AvgUnitPrice,SalesVolume
23503,4.05,3435
23216,2.74,518
23426,4.72,1232
23014,4.32,800
21479,2.88,2702
21428,0.2,1099
15060B,2.34,411
21033,1.785,922
23309,2.79,7727
20677,1.24,3159
21620,2.27,811
21578,2.7433333333333336,586
21124,2.77,3970
21358,1.88,328
90119,4.38,60
22488,3.64,2911
22926,2.8,569
22199,3.875,384
23353,0.16,3735
23553,0.85,558
82567,4.11,497
21162,3.51,1416
21494,1.9,1228
22333,1.68,4391
22916,4.19,1819
21447,1.22,749
21623,0.24,3255
82581,4.6,3749
23453,1.08,323
23091,2.8633333333333333,570
21899,4.52,2605
17107D,4.333333333333333,171
48138,0.27,3625
21928,3.11,9704
16235,1.17,2665
21375,2.49,24
21913,0.89,305
22819,2.83,1848
23281,2.415,1270
23147,1.16,1845
84817,3.08,951
22553,3.59,4060
22818,1.59,3162
20679,3.72,1630
22775,3.25,2614
23524,2.3600000000000003,465
35649,3.83,16
21682,3.445,177
20659,2.03,95
20681,2.0700000000000003,125
21563,2.06,1358
23525,3.8049999999999997,568
23077,2.45,9662
23283,3.375,967
23487,0.26,78
22112,2.94,5160
22119,3.32,348
21720,1.11,57
22400,0.27,1393
23330,1.11,1761
23167,2.85,5666
21094,4.61,7351
21508,0.59,2393
21917,4.27,4095
16156S,3.35,5800
22567,3.11,2368
22467,3.0033333333333334,7688
22774,4.45,2007
23348,1.8633333333333333,680
22310,4.61,531
22753,3.39,918
22925,2.1233333333333335,427
16015,1.14,662
22325,2.22,153
23175,0.08,3066
23131,2.734,894
23214,1.99,777
48194,4.3,3271
23172,4.93,3688
21981,3.98,5295
22758,2.4,1122
22096,4.18,1364
21813,4.66,250
21903,1.5,1129
84192,4.23,115
22293,1.61,821
22410,1.86,223
21977,0.57,24264
21802,3.62,1000
21226,2.53,9
22798,4.06,1643
23534,3.085,1207
16054,3.64,1166
22109,4.22,1383
22142,2.875,3073
22273,3.68,4469
20781,0.3,32
22695,4.37,695
23169,3.266666666666667,1453
23350,1.73,2593
23482,2.36,415
15056P,4.28,769
21293,3.33,101
21672,2.35,4564
21366,0.93,24
23199,0.38,13887
23463,3.32,12
23691,2.785,1175
21147,1.03,89
21154,4.87,3187
22465,1.97,1965
23290,4.15,2367
23292,1.9249999999999998,2082
22211,3.8,783
20748,1.69,53
22535,3.93,1716
23308,4.16,5967
23110,2.4,664
20771,1.85,71
21070,3.61,1033
21463,1.1,644
22931,2.69,794
22948,2.8049999999999997,1456
23294,4.72,4292
23370,2.66,1359
21888,3.4899999999999998,1553
22027,2.42,4165
22448,0.09,187
21155,1.84,2460
22966,0.42,7204
23130,4.154999999999999,918
23345,0.59,2398
23502,3.98,690
22771,0.54,5753
23016,0.42,69
23436,2.3600000000000003,1929
23483,3.5,1322
84949,3.29,4665
22944,3.26,2704
16258A,2.3,445
22750,4.21,1964
22851,3.03,2609
22390,2.69,261
84378,3.16,6019
23314,1.84,393
23070,3.89,147
22621,0.33,5895
20780,3.17,37
22513,3.25,135
23201,4.88,12540
23490,3.23,539
23485,2.66,259
84947,3.88,8273
23411,1.62,217
23417,4.91,140
22539,4.04,2824
16254,0.0,31
21244,0.06,2131
21445,3.75,214
21427,4.38,77
21577,3.47,549
23389,2.375,1050
23445,0.45,2667
23168,3.19,2850
72741,2.13,5801
23473,4.84,666
22651,3.11,1992
22173,3.46,2151
22332,2.1,982
22745,4.91,1788
22899,2.36,1983
21096,0.99,1143
21739,0.04,143
22941,4.34,1572
21326,3.47,10088
21292,1.77,865
23559,3.76,566
23681,3.82,1548
22114,2.08,3736
17084P,0.42,349
22197,0.625,49183
21205,2.62,209
23544,1.55,164
21012,3.6,567
21673,3.92,3994
37475,1.66,57
16011,0.34,1773
21486,1.87,8
20652,1.36,150
85152,2.73,8164
23058,2.94,486
21329,2.93,589
21822,0.31,615
22028,0.98,2915
23334,3.48,2154
71270,4.7,207
22530,4.99,3514
23598,3.67,421
21166,1.09,10209
20752,1.555,367
23034,3.9,947
23082,4.47,2265
23114,4.605,144
82484,2.44,5921
23324,4.34,381
21723,0.89,371
21827,4.15,6
23492,4.45,74
23358,2.54,528
23508,1.96,2476
23153,0.24,248
21056,2.97,174
21471,4.14,495
20735,0.17,158
20769,1.77,66
22991,1.23,3710
23461,1.49,839
23116,4.055,72
70007,3.87,732
23188,2.395,3098
47469,3.35,359
22110,0.42,618
22645,2.19,1757
10120,2.46,193
23505,0.41,1065
23048,4.67,564
23538,3.99,327
21165,2.56,4027
22178,1.35,22433
23325,1.945,444
23341,4.14,282
21167,3.07,1260
22814,0.79,1581
23566,2.99,786
23210,4.51,2803
20725,2.395,17897
21156,3.83,3039
22624,3.26,1783
22639,4.07,763
16161U,4.63,4075
20775,3.63,64
23127,2.3649999999999998,714
23557,2.96,347
22982,1.77,1045
23212,1.29,2179
85062,2.33,1380
22578,2.61,9630
22908,0.29,4234
21084,0.08,2199
85078,3.52,1746
85175,2.6083333333333334,5217
22672,0.37,1382
21793,3.075,296
20932,1.6,189
